scheme,condition,wm,prompt_id,seed,score,stat,n_tokens,edits,rejected,short,src
KGW,clean,0,0,11,-1.2977713690461004,-1.2977713690461004,951,0,0,0,neg
KGW,clean,0,0,12,-0.2568645196271742,-0.2568645196271742,971,0,0,0,neg
KGW,clean,0,0,13,-0.909363506104144,-0.909363506104144,1018,0,0,0,neg
KGW,clean,0,0,14,-0.2955987834492879,-0.2955987834492879,928,0,0,0,neg
KGW,clean,0,1,11,-1.2026755886059097,-1.2026755886059097,897,0,0,0,neg
KGW,clean,0,1,12,-2.2125349253908184,-2.2125349253908184,918,0,0,0,neg
KGW,clean,0,1,13,-0.8819171036881969,-0.8819171036881969,1009,0,0,0,neg
KGW,clean,0,1,14,0.9576643706915483,0.9576643706915483,918,0,0,0,neg
KGW,clean,0,2,11,1.2447313859527949,1.2447313859527949,933,0,0,0,neg
KGW,clean,0,2,12,0.6006654653369373,0.6006654653369373,802,0,0,0,neg
KGW,clean,0,2,13,-1.5471969959791478,-1.5471969959791478,1004,0,0,0,neg
KGW,clean,0,2,14,0.38892223413129867,0.38892223413129867,953,0,0,0,neg
KGW,clean,0,3,11,0.2221382855913819,0.2221382855913819,994,0,0,0,neg
KGW,clean,0,3,12,0.9322980214968376,0.9322980214968376,903,0,0,0,neg
KGW,clean,0,3,13,2.744793155812663,2.744793155812663,960,0,0,0,neg
KGW,clean,0,3,14,1.2205392106525912,1.2205392106525912,1022,0,0,0,neg
KGW,clean,0,4,11,-1.0370654891554296,-1.0370654891554296,1140,0,0,0,neg
KGW,clean,0,4,12,-1.3804027713039488,-1.3804027713039488,1017,0,0,0,neg
KGW,clean,0,4,13,-0.19324698792024925,-0.19324698792024925,965,0,0,0,neg
KGW,clean,0,4,14,-1.8508973673741775,-1.8508973673741775,884,0,0,0,neg
KGW,clean,0,5,11,3.2576479150838735,3.2576479150838735,816,0,0,0,neg
KGW,clean,0,5,12,0.8480669144409478,0.8480669144409478,870,0,0,0,neg
KGW,clean,0,5,13,-0.5877208336035052,-0.5877208336035052,939,0,0,0,neg
KGW,clean,0,5,14,0.1007301416809612,0.1007301416809612,888,0,0,0,neg
KGW,clean,0,6,11,0.52851642258169,0.52851642258169,1433,0,0,0,neg
KGW,clean,0,6,12,-1.2611333222388634,-1.2611333222388634,1007,0,0,0,neg
KGW,clean,0,6,13,0.45845460404900223,0.45845460404900223,1219,0,0,0,neg
KGW,clean,0,6,14,1.8569614484488353,1.8569614484488353,1152,0,0,0,neg
KGW,clean,0,7,11,-2.1262575813923053,-2.1262575813923053,907,0,0,0,neg
KGW,clean,0,7,12,-2.487592975524973,-2.487592975524973,910,0,0,0,neg
KGW,clean,0,7,13,-0.30890103160760773,-0.30890103160760773,1049,0,0,0,neg
KGW,clean,0,7,14,0.16511454667095662,0.16511454667095662,918,0,0,0,neg
KGW,clean,0,8,11,-0.43301270189221935,-0.43301270189221935,769,0,0,0,neg
KGW,clean,0,8,12,-0.8528028654224418,-0.8528028654224418,793,0,0,0,neg
KGW,clean,0,8,13,-0.621997473274912,-0.621997473274912,748,0,0,0,neg
KGW,clean,0,8,14,-0.8328707558159619,-0.8328707558159619,902,0,0,0,neg
KGW,clean,0,9,11,-0.711530850088466,-0.711530850088466,957,0,0,0,neg
KGW,clean,0,9,12,0.128564869306645,0.128564869306645,969,0,0,0,neg
KGW,clean,0,9,13,0.151934281365691,0.151934281365691,1084,0,0,0,neg
KGW,clean,0,9,14,0.25374459187822046,0.25374459187822046,995,0,0,0,neg
KGW,clean,0,10,11,-0.4026936331284146,-0.4026936331284146,889,0,0,0,neg
KGW,clean,0,10,12,0.7190263052677958,0.7190263052677958,854,0,0,0,neg
KGW,clean,0,10,13,1.7284978790940957,1.7284978790940957,977,0,0,0,neg
KGW,clean,0,10,14,0.9439751632913289,0.9439751632913289,1011,0,0,0,neg
KGW,clean,0,11,11,-0.03309516961607476,-0.03309516961607476,914,0,0,0,neg
